QF4: hspd=20.4927, x=3307.5176, y=1611.0537, x_hex=0x454eb848, y_hex=0x44c961b8, type=overlap
QF4: hspd=20.4926, x=3307.5176, y=1611.0537, x_hex=0x454eb848, y_hex=0x44c961b8, type=overlap
QF4: hspd=20.4925, x=3307.5176, y=1611.0537, x_hex=0x454eb848, y_hex=0x44c961b8, type=overlap
QF4: hspd=20.4924, x=3307.5176, y=1611.0537, x_hex=0x454eb848, y_hex=0x44c961b8, type=overlap
QF4: hspd=20.4923, x=3307.5176, y=1611.0537, x_hex=0x454eb848, y_hex=0x44c961b8, type=overlap
QF4: hspd=20.4922, x=3307.5176, y=1611.0537, x_hex=0x454eb848, y_hex=0x44c961b8, type=overlap
QF4: hspd=20.4921, x=3307.5176, y=1611.0537, x_hex=0x454eb848, y_hex=0x44c961b8, type=overlap
QF4: hspd=20.492, x=3307.5176, y=1611.0537, x_hex=0x454eb848, y_hex=0x44c961b8, type=overlap
QF4: hspd=20.4919, x=3307.5176, y=1611.0537, x_hex=0x454eb848, y_hex=0x44c961b8, type=overlap
QF4: hspd=20.4918, x=3307.5176, y=1611.0537, x_hex=0x454eb848, y_hex=0x44c961b8, type=overlap
QF4: hspd=20.4917, x=3307.5176, y=1611.0537, x_hex=0x454eb848, y_hex=0x44c961b8, type=overlap
QF4: hspd=20.4916, x=3307.5176, y=1611.0537, x_hex=0x454eb848, y_hex=0x44c961b8, type=overlap
QF4: hspd=20.4915, x=3307.5176, y=1611.0537, x_hex=0x454eb848, y_hex=0x44c961b8, type=overlap
QF4: hspd=20.4914, x=3307.5176, y=1611.0537, x_hex=0x454eb848, y_hex=0x44c961b8, type=overlap
QF4: hspd=20.4913, x=3307.5176, y=1611.0537, x_hex=0x454eb848, y_hex=0x44c961b8, type=overlap
QF4: hspd=20.4716, x=3307.505, y=1611.0288, x_hex=0x454eb814, y_hex=0x44c960ec, type=overlap
QF4: hspd=20.4715, x=3307.505, y=1611.0288, x_hex=0x454eb814, y_hex=0x44c960ec, type=overlap
QF4: hspd=20.4714, x=3307.505, y=1611.0288, x_hex=0x454eb814, y_hex=0x44c960ec, type=overlap
QF4: hspd=20.4713, x=3307.505, y=1611.0288, x_hex=0x454eb814, y_hex=0x44c960ec, type=overlap
QF4: hspd=20.4712, x=3307.505, y=1611.0288, x_hex=0x454eb814, y_hex=0x44c960ec, type=overlap
QF4: hspd=20.4711, x=3307.505, y=1611.0288, x_hex=0x454eb814, y_hex=0x44c960ec, type=overlap
QF4: hspd=20.471, x=3307.505, y=1611.0288, x_hex=0x454eb814, y_hex=0x44c960ec, type=overlap
QF4: hspd=20.4709, x=3307.505, y=1611.0288, x_hex=0x454eb814, y_hex=0x44c960ec, type=overlap
QF4: hspd=20.4708, x=3307.505, y=1611.0288, x_hex=0x454eb814, y_hex=0x44c960ec, type=overlap
QF4: hspd=20.4707, x=3307.505, y=1611.0288, x_hex=0x454eb814, y_hex=0x44c960ec, type=overlap
QF4: hspd=20.4706, x=3307.505, y=1611.0288, x_hex=0x454eb814, y_hex=0x44c960ec, type=overlap
QF4: hspd=20.4705, x=3307.505, y=1611.0288, x_hex=0x454eb814, y_hex=0x44c960ec, type=overlap
QF4: hspd=20.4704, x=3307.505, y=1611.0288, x_hex=0x454eb814, y_hex=0x44c960ec, type=overlap
QF4: hspd=20.4703, x=3307.505, y=1611.0288, x_hex=0x454eb814, y_hex=0x44c960ec, type=overlap
QF4: hspd=20.4702, x=3307.505, y=1611.0288, x_hex=0x454eb814, y_hex=0x44c960ec, type=overlap
QF4: hspd=20.4701, x=3307.505, y=1611.0288, x_hex=0x454eb814, y_hex=0x44c960ec, type=overlap
QF4: hspd=20.47, x=3307.505, y=1611.0288, x_hex=0x454eb814, y_hex=0x44c960ec, type=overlap
QF4: hspd=20.4699, x=3307.505, y=1611.0288, x_hex=0x454eb814, y_hex=0x44c960ec, type=overlap
QF4: hspd=20.4698, x=3307.505, y=1611.0288, x_hex=0x454eb814, y_hex=0x44c960ec, type=overlap
QF4: hspd=20.4492, x=3307.4922, y=1611.0039, x_hex=0x454eb7e0, y_hex=0x44c96020, type=overlap
QF4: hspd=20.4491, x=3307.4922, y=1611.0039, x_hex=0x454eb7e0, y_hex=0x44c96020, type=overlap
QF4: hspd=20.449, x=3307.4922, y=1611.0039, x_hex=0x454eb7e0, y_hex=0x44c96020, type=overlap
QF4: hspd=20.4489, x=3307.4922, y=1611.0039, x_hex=0x454eb7e0, y_hex=0x44c96020, type=overlap
QF4: hspd=20.4488, x=3307.4922, y=1611.0039, x_hex=0x454eb7e0, y_hex=0x44c96020, type=overlap
QF4: hspd=20.4487, x=3307.4922, y=1611.0039, x_hex=0x454eb7e0, y_hex=0x44c96020, type=overlap
QF4: hspd=20.4486, x=3307.4922, y=1611.0039, x_hex=0x454eb7e0, y_hex=0x44c96020, type=overlap
QF4: hspd=20.4485, x=3307.4922, y=1611.0039, x_hex=0x454eb7e0, y_hex=0x44c96020, type=overlap
