===== QF 1 =====

===== QF 2 =====

===== QF 3 =====

===== QF 4 =====
hspd=20.0930, y=1610.6055, x=3307.2890
hspd=20.0929, y=1610.6055, x=3307.2890
hspd=20.0928, y=1610.6055, x=3307.2890
hspd=20.0732, y=1610.5806, x=3307.2764
hspd=20.0731, y=1610.5806, x=3307.2764
hspd=20.0730, y=1610.5806, x=3307.2764
hspd=20.0729, y=1610.5806, x=3307.2764
hspd=20.0728, y=1610.5806, x=3307.2764
hspd=20.0727, y=1610.5806, x=3307.2764
hspd=20.0726, y=1610.5806, x=3307.2764
hspd=20.0725, y=1610.5806, x=3307.2764
hspd=20.0724, y=1610.5806, x=3307.2764
hspd=20.0723, y=1610.5806, x=3307.2764
hspd=20.0722, y=1610.5806, x=3307.2764
hspd=20.0721, y=1610.5806, x=3307.2764
hspd=20.0720, y=1610.5806, x=3307.2764
hspd=20.0719, y=1610.5806, x=3307.2764
hspd=20.0718, y=1610.5806, x=3307.2764
hspd=20.0717, y=1610.5806, x=3307.2764
hspd=20.0716, y=1610.5806, x=3307.2764
hspd=20.0715, y=1610.5806, x=3307.2764
hspd=20.0714, y=1610.5806, x=3307.2764
hspd=20.0713, y=1610.5806, x=3307.2764
hspd=20.0507, y=1610.5557, x=3307.2637
hspd=20.0506, y=1610.5557, x=3307.2637
hspd=20.0505, y=1610.5557, x=3307.2637
hspd=20.0504, y=1610.5557, x=3307.2637
hspd=20.0503, y=1610.5557, x=3307.2637
hspd=20.0502, y=1610.5557, x=3307.2637
hspd=20.0501, y=1610.5557, x=3307.2637
hspd=20.0500, y=1610.5557, x=3307.2637
hspd=20.0499, y=1610.5557, x=3307.2637
hspd=20.0498, y=1610.5557, x=3307.2637
hspd=20.0048, y=1610.5059, x=3307.2383
hspd=20.0047, y=1610.5059, x=3307.2383
hspd=20.0046, y=1610.5059, x=3307.2383
hspd=20.0045, y=1610.5059, x=3307.2383
hspd=20.0044, y=1610.5059, x=3307.2383
hspd=20.0043, y=1610.5059, x=3307.2383
hspd=20.0042, y=1610.5059, x=3307.2383
hspd=20.0041, y=1610.5059, x=3307.2383
hspd=20.0040, y=1610.5059, x=3307.2383
hspd=19.9404, y=1610.4312, x=3307.2002
hspd=19.9403, y=1610.4312, x=3307.2002
hspd=19.9402, y=1610.4312, x=3307.2002
hspd=19.9401, y=1610.4312, x=3307.2002
hspd=19.9400, y=1610.4312, x=3307.2002
hspd=19.9399, y=1610.4312, x=3307.2002
hspd=19.9398, y=1610.4312, x=3307.2002
hspd=19.9397, y=1610.4312, x=3307.2002
hspd=19.9396, y=1610.4312, x=3307.2002
hspd=19.9395, y=1610.4312, x=3307.2002
hspd=19.9394, y=1610.4312, x=3307.2002
